,City Name,Cloudiness,Current Temp,Humidity,Latitude,Max Temp,Wind Speed,color
0,Ginebra,75,82.4,61,3.72,82.4,12.75,#ecf74f
1,Pukhrayan,44,87.52,37,26.23,87.52,9.33,#C0C0C0
2,Puerto Lempira,75,84.2,74,15.32,84.2,9.17,#C0C0C0
3,Gursahaiganj,0,82.03,44,27.12,82.03,7.2,#C0C0C0
4,Khadyzhensk,68,66.28,40,44.43,66.28,9.33,#C0C0C0
5,Anandnagar,0,81.58,64,27.1,81.58,13.8,#C0C0C0
6,Watertown,1,84.34,39,44.9,86.0,19.46,#C0C0C0
7,Hirado,92,67.9,99,33.34,67.9,1.5,#C0C0C0
8,Lezhe,0,71.6,88,41.78,71.6,3.36,#C0C0C0
9,Bagdarin,0,46.84,76,54.43,46.84,1.72,#C0C0C0
10,Neufahrn bei Freising,40,67.06,68,48.32,69.8,6.93,#C0C0C0
11,Karsiyang,100,62.14,95,26.88,62.14,1.83,#C0C0C0
12,Burhar,0,85.09,37,23.22,85.09,10.0,#C0C0C0
13,Canazas,76,77.17,88,8.32,77.17,3.29,#C0C0C0
14,Phulji,0,81.85,12,26.88,81.85,7.99,#C0C0C0
15,Richards Bay,92,61.78,100,-28.78,61.78,4.63,#C0C0C0
16,Beresti-Bistrita,0,64.4,55,46.72,64.4,4.7,#C0C0C0
17,Albany,40,79.47,69,31.58,80.6,6.93,#C0C0C0
18,Vyl’gort,90,50.0,87,61.62,50.0,4.47,#C0C0C0
19,Queensferry,0,59.7,87,55.98,62.6,5.82,#C0C0C0
20,Nikolsk,0,57.55,46,53.72,57.55,8.43,#C0C0C0
21,Kostino,88,44.77,97,58.91,44.77,6.2,#C0C0C0
22,Olovo,0,62.6,63,44.13,64.4,4.7,#C0C0C0
23,Stamata,0,72.48,35,38.13,73.4,9.17,#C0C0C0
24,Nogent-le-Rotrou,0,63.57,93,48.32,66.2,2.24,#C0C0C0
25,Kroken,32,63.31,55,61.13,63.31,2.28,#C0C0C0
26,Zemst,20,64.9,93,50.98,69.8,5.82,#C0C0C0
27,Santa Maria,0,77.0,57,-29.68,77.0,5.82,#C0C0C0
28,Tres Coracoes,0,63.67,47,-21.7,63.67,7.2,#C0C0C0
29,Imeni Tsyurupy,0,59.0,54,55.5,59.0,6.71,#C0C0C0
30,Turka,0,49.45,73,52.95,49.45,2.73,#C0C0C0
31,Dentsville,90,84.42,74,34.06,87.8,5.82,#C0C0C0
32,Mehadia,0,61.33,60,44.9,61.33,4.18,#C0C0C0
33,Stonewall,90,86.0,40,50.13,86.0,9.17,#C0C0C0
34,Lazi,0,56.92,68,48.07,56.92,2.73,#C0C0C0
35,Mijas,20,68.0,49,36.6,68.0,8.05,#C0C0C0
36,Peredovaya,80,60.61,57,44.12,60.61,19.84,#C0C0C0
37,Plaine Magnien,20,69.8,83,-20.43,69.8,3.36,#C0C0C0
38,Haifa,20,73.84,100,32.82,73.84,6.87,#C0C0C0
39,Casoria,40,76.23,54,40.92,78.8,2.24,#C0C0C0
40,Xapuri,75,86.0,66,-10.65,86.0,5.82,#C0C0C0
41,Somova,24,62.6,67,45.18,62.6,6.93,#C0C0C0
42,Varpalota,0,67.08,60,47.2,69.8,9.17,#C0C0C0
43,Vesyegonsk,0,64.57,43,58.66,64.57,14.92,#C0C0C0
44,Khambhat,0,88.51,71,22.3,88.51,10.22,#C0C0C0
45,Sadova,8,68.0,42,47.53,68.0,9.17,#C0C0C0
46,Mayo,75,50.0,66,63.6,50.0,3.36,#C0C0C0
47,Buenavista,8,76.36,95,10.7,76.36,7.76,#C0C0C0
48,Dobrovice,20,71.11,68,50.37,73.4,5.82,#C0C0C0
49,Sarmakovo,90,58.12,76,43.75,59.0,4.47,#C0C0C0
50,Bordesti,24,58.45,64,45.55,58.45,1.83,#C0C0C0
51,Ola,40,33.8,100,59.58,33.8,6.71,#C0C0C0
52,Betzdorf,75,68.0,88,50.78,68.0,4.7,#C0C0C0
53,Batak,20,68.0,64,41.95,68.0,9.17,#C0C0C0
54,Alto da Conceição,92,70.33,91,-8.83,70.33,7.54,#C0C0C0
55,Santa Ines Ahuatempan,0,87.97,22,18.42,87.97,2.95,#C0C0C0
56,Dasha,0,84.25,69,23.05,86.0,2.24,#C0C0C0
57,Camarasu,0,62.8,67,46.78,68.0,6.98,#C0C0C0
58,Yago,40,86.0,55,21.83,86.0,9.17,#C0C0C0
59,Saint Helens,90,60.3,58,45.86,60.8,5.82,#C0C0C0
60,Raglan,0,49.45,100,-37.8,49.45,10.22,#C0C0C0
61,Lochwinnoch,0,61.74,72,55.78,62.6,11.41,#C0C0C0
62,Barrio Santo Domingo,40,80.6,88,12.15,80.6,4.7,#C0C0C0
63,Aigio,0,69.8,83,38.25,69.8,3.36,#C0C0C0
64,Morbi,0,83.56,76,22.82,83.56,11.23,#C0C0C0
65,Zalau,0,63.18,68,47.2,64.4,4.7,#C0C0C0
66,Gobolka Jubbada Hoose,12,79.96,71,0.52,79.96,10.67,#ecf74f
67,Kathu,40,77.0,88,7.91,77.0,2.24,#C0C0C0
68,Grakhovo,0,50.0,93,56.05,50.0,6.71,#C0C0C0
69,La Plata,0,72.46,60,-34.92,75.2,11.41,#C0C0C0
70,Dickson,75,77.65,94,36.08,80.6,6.93,#C0C0C0
71,Gevrai,8,83.2,53,18.98,83.2,12.68,#ecf74f
72,Maennedorf / Dorfkern,0,64.72,72,47.25,68.0,3.36,#C0C0C0
73,San Pedro,0,87.8,55,-18.28,87.8,11.41,#ecf74f
74,Lamitan,88,72.22,100,6.09,72.22,2.73,#C0C0C0
75,Minlagas,8,78.61,98,8.88,78.61,4.41,#C0C0C0
76,Mariara,40,89.69,48,10.3,91.4,8.05,#C0C0C0
77,Tacuta,0,69.8,46,46.92,69.8,4.7,#C0C0C0
78,Tangua,75,65.59,73,1.09,71.6,3.36,#C0C0C0
79,Barisal,20,81.04,91,22.7,81.04,5.3,#C0C0C0
80,Oviedo,75,82.58,74,28.67,87.8,20.8,#C0C0C0
81,Pereslavl-Zalesskiy,0,62.23,41,56.74,62.23,16.6,#C0C0C0
82,Ouricuri,8,79.51,51,-7.78,79.51,14.81,#ecf74f
83,Knarrviki,24,64.93,53,60.54,64.93,1.39,#C0C0C0
84,Fallanden,0,64.69,72,47.37,68.0,3.36,#C0C0C0
85,Capaccio,40,62.6,63,40.42,62.6,5.82,#C0C0C0
86,Kamo,92,64.57,92,37.65,64.57,3.74,#C0C0C0
87,Playa del Carmen,75,84.63,66,20.62,89.6,8.05,#C0C0C0
88,Kasama,75,64.4,93,36.38,64.4,2.24,#C0C0C0
89,Dundee,0,52.42,70,-28.17,52.42,5.86,#C0C0C0
90,Temnikov,0,57.46,47,54.63,57.46,9.33,#C0C0C0
91,Hamza,56,55.03,49,40.43,55.03,6.64,#C0C0C0
92,Borgosesia,0,54.7,88,45.72,64.4,3.36,#C0C0C0
93,Teul de Gonzalez Ortega,0,91.12,27,21.47,91.12,3.62,#C0C0C0
94,Zacatelco,5,84.2,25,19.22,84.2,13.87,#ecf74f
95,Baripāda,8,81.22,94,21.93,81.22,4.18,#C0C0C0
96,Rimavska Sobota,0,58.63,81,48.38,58.63,2.17,#C0C0C0
97,Kokkinokhoma,40,71.6,68,40.93,71.6,4.7,#C0C0C0
98,Knjazevac,0,69.8,46,43.54,69.8,8.05,#C0C0C0
99,Chocope,90,66.2,82,-7.79,66.2,13.87,#ecf74f
100,Mariental,0,42.07,63,-24.63,42.07,7.43,#C0C0C0
101,Tortel,0,68.61,68,47.12,69.8,2.24,#C0C0C0
102,San Cosme y Damian,0,83.34,39,-27.32,84.2,6.93,#C0C0C0
103,Makir,92,74.65,100,7.03,74.65,7.65,#C0C0C0
104,Umm Bab,0,86.89,48,25.21,86.89,6.76,#C0C0C0
105,Panuco de Coronado,5,93.2,8,24.53,93.2,9.17,#C0C0C0
106,Palmi,20,73.47,49,38.35,75.2,11.41,#C0C0C0
107,Sojat,0,89.5,38,25.92,89.5,10.22,#C0C0C0
108,Wijnegem,75,66.65,83,51.23,69.8,5.82,#C0C0C0
109,Lampertheim,0,68.34,68,49.6,69.8,2.24,#C0C0C0
110,Himalaia,20,77.0,78,-9.58,77.0,8.05,#C0C0C0
111,Goya,80,78.16,48,-29.14,78.16,13.8,#C0C0C0
112,Gemunden,24,67.72,72,50.05,67.72,6.31,#C0C0C0
113,Kulai,75,78.84,88,1.66,80.6,2.24,#C0C0C0
114,Merauke,56,75.82,98,-8.47,75.82,13.24,#ecf74f
115,Banesti,0,64.4,55,45.1,64.4,5.82,#C0C0C0
116,La Ermita,20,87.78,52,19.48,89.6,20.8,#ecf74f
117,Montornes del Valles,0,67.3,64,41.54,69.8,6.93,#C0C0C0
118,Santa Maria,40,80.6,78,15.52,80.6,2.24,#C0C0C0
119,Bhatapara,92,91.84,32,21.73,91.84,7.2,#C0C0C0
120,Enns,40,73.4,53,48.2,73.4,10.29,#C0C0C0
121,Tovarkovskiy,0,53.5,58,53.64,53.5,9.22,#C0C0C0
122,Haacht,20,65.8,93,50.98,69.8,5.82,#C0C0C0
123,Dig,24,86.98,33,27.47,86.98,9.44,#C0C0C0
124,Kuppam,0,77.89,75,12.75,77.89,7.87,#C0C0C0
125,Cofradia,75,94.71,44,15.42,98.6,3.36,#C0C0C0
126,Avdeyevka,0,59.44,30,48.14,59.44,9.33,#C0C0C0
127,Cutro,40,66.61,100,39.03,75.2,17.22,#C0C0C0
128,Cagliari,20,69.69,68,39.22,71.6,10.29,#C0C0C0
129,Garanhuns,92,67.81,91,-8.9,67.81,9.78,#C0C0C0
130,Zacatecoluca,40,79.45,74,13.5,86.0,6.93,#C0C0C0
131,Bella Vista,0,79.69,39,-22.13,79.69,7.65,#C0C0C0
132,Leningradskiy,44,30.37,100,69.38,30.37,11.01,#C0C0C0
133,Ikovka,0,30.37,79,55.61,30.37,3.06,#C0C0C0
134,Karasjok,92,41.26,86,69.45,41.26,12.01,#C0C0C0
135,Ardusat,0,64.4,63,47.7,64.4,2.24,#C0C0C0
136,Sarrebourg,0,63.91,77,48.73,68.0,2.24,#C0C0C0
137,Sumilao,64,68.89,100,8.29,68.89,2.95,#C0C0C0
138,Abha,0,73.49,68,18.22,75.2,1.39,#C0C0C0
139,Lun Pequeno,88,72.22,100,6.04,72.22,2.73,#C0C0C0
140,Sant’Anna,0,65.71,78,43.83,75.2,5.82,#C0C0C0
