,Compound Score,Date,Negative Score,Neutral Score,Postive Score,Tweets Ago,Username
0,0.796,Thu Jun 07 16:02:03 +0000 2018,0.0,0.53,0.47,1,@BBC
1,-0.557,Wed Jun 06 12:21:20 +0000 2018,0.153,0.847,0.0,2,@BBC
2,0.71,Tue Jun 05 10:34:07 +0000 2018,0.0,0.763,0.237,3,@BBC
3,0.178,Sun Jun 03 20:42:07 +0000 2018,0.165,0.683,0.153,4,@BBC
4,0.296,Sat Jun 02 17:05:04 +0000 2018,0.086,0.779,0.135,5,@BBC
5,0.572,Fri Jun 01 12:32:03 +0000 2018,0.0,0.684,0.316,6,@BBC
6,0.827,Thu May 31 13:03:35 +0000 2018,0.0,0.726,0.274,7,@BBC
7,0.296,Wed May 30 11:40:40 +0000 2018,0.0,0.885,0.115,8,@BBC
8,0.773,Tue May 29 13:06:52 +0000 2018,0.0,0.731,0.269,9,@BBC
9,0.0,Mon May 28 13:05:07 +0000 2018,0.0,1.0,0.0,10,@BBC
10,0.0,Sun May 27 17:38:48 +0000 2018,0.0,1.0,0.0,11,@BBC
11,0.0,Sun May 27 09:04:07 +0000 2018,0.0,1.0,0.0,12,@BBC
12,0.772,Sat May 26 15:28:00 +0000 2018,0.0,0.705,0.295,13,@BBC
13,0.0,Fri May 25 18:06:03 +0000 2018,0.0,1.0,0.0,14,@BBC
14,0.0,Fri May 25 07:01:02 +0000 2018,0.0,1.0,0.0,15,@BBC
15,-0.456,Wed May 23 12:02:05 +0000 2018,0.124,0.876,0.0,16,@BBC
16,-0.153,Tue May 22 10:03:02 +0000 2018,0.146,0.732,0.122,17,@BBC
17,-0.599,Mon May 21 13:02:02 +0000 2018,0.219,0.781,0.0,18,@BBC
18,0.0,Sun May 20 12:33:00 +0000 2018,0.0,1.0,0.0,19,@BBC
19,0.477,Sat May 19 12:30:53 +0000 2018,0.0,0.78,0.22,20,@BBC
20,0.0,Sat May 19 09:45:06 +0000 2018,0.0,1.0,0.0,21,@BBC
21,0.0,Fri May 18 20:20:40 +0000 2018,0.0,1.0,0.0,22,@BBC
22,0.361,Fri May 18 09:31:00 +0000 2018,0.0,0.878,0.122,23,@BBC
23,-0.44,Thu May 17 12:39:09 +0000 2018,0.162,0.838,0.0,24,@BBC
24,-0.459,Wed May 16 09:17:35 +0000 2018,0.16,0.782,0.058,25,@BBC
25,-0.558,Tue May 15 09:44:58 +0000 2018,0.231,0.672,0.097,26,@BBC
26,0.624,Sun May 13 22:05:33 +0000 2018,0.0,0.687,0.313,27,@BBC
27,0.0,Sun May 13 13:47:54 +0000 2018,0.0,1.0,0.0,28,@BBC
28,-0.59,Sat May 12 19:33:03 +0000 2018,0.184,0.816,0.0,29,@BBC
29,0.178,Fri May 11 18:03:03 +0000 2018,0.134,0.695,0.171,30,@BBC
30,-0.382,Thu May 10 17:02:05 +0000 2018,0.157,0.843,0.0,31,@BBC
31,0.784,Wed May 09 14:01:53 +0000 2018,0.0,0.615,0.385,32,@BBC
32,0.611,Tue May 08 13:31:10 +0000 2018,0.0,0.826,0.174,33,@BBC
33,0.0,Mon May 07 15:06:05 +0000 2018,0.0,1.0,0.0,34,@BBC
34,0.382,Sun May 06 10:08:03 +0000 2018,0.0,0.88,0.12,35,@BBC
35,0.25,Fri May 04 18:01:04 +0000 2018,0.0,0.778,0.222,36,@BBC
36,0.637,Thu May 03 18:34:03 +0000 2018,0.0,0.811,0.189,37,@BBC
37,-0.422,Thu May 03 08:00:14 +0000 2018,0.167,0.833,0.0,38,@BBC
38,0.44,Tue May 01 18:09:04 +0000 2018,0.088,0.737,0.175,39,@BBC
39,0.153,Tue May 01 06:04:00 +0000 2018,0.055,0.864,0.082,40,@BBC
40,0.296,Sun Apr 29 18:00:24 +0000 2018,0.0,0.879,0.121,41,@BBC
41,-0.637,Sat Apr 28 20:01:07 +0000 2018,0.25,0.652,0.098,42,@BBC
42,-0.778,Fri Apr 27 15:01:05 +0000 2018,0.286,0.714,0.0,43,@BBC
43,0.0,Thu Apr 26 14:13:03 +0000 2018,0.0,1.0,0.0,44,@BBC
44,0.0,Wed Apr 25 11:00:09 +0000 2018,0.0,1.0,0.0,45,@BBC
45,0.612,Tue Apr 24 10:08:25 +0000 2018,0.0,0.821,0.179,46,@BBC
46,-0.599,Mon Apr 23 11:00:19 +0000 2018,0.262,0.738,0.0,47,@BBC
47,0.0,Sun Apr 22 12:00:40 +0000 2018,0.0,1.0,0.0,48,@BBC
48,0.572,Sat Apr 21 15:01:06 +0000 2018,0.115,0.545,0.339,49,@BBC
49,0.0,Fri Apr 20 14:18:19 +0000 2018,0.0,1.0,0.0,50,@BBC
50,-0.422,Thu Apr 19 16:00:20 +0000 2018,0.128,0.872,0.0,51,@BBC
51,0.735,Wed Apr 18 10:26:27 +0000 2018,0.052,0.747,0.201,52,@BBC
52,0.572,Tue Apr 17 10:15:33 +0000 2018,0.0,0.821,0.179,53,@BBC
53,0.25,Mon Apr 16 12:01:05 +0000 2018,0.0,0.882,0.118,54,@BBC
54,0.0,Sun Apr 15 11:26:01 +0000 2018,0.0,1.0,0.0,55,@BBC
55,0.0,Sat Apr 14 13:15:42 +0000 2018,0.0,1.0,0.0,56,@BBC
56,0.411,Fri Apr 13 15:31:14 +0000 2018,0.0,0.789,0.211,57,@BBC
57,0.459,Thu Apr 12 14:08:44 +0000 2018,0.0,0.812,0.188,58,@BBC
58,0.0,Wed Apr 11 13:04:48 +0000 2018,0.0,1.0,0.0,59,@BBC
59,0.735,Tue Apr 10 15:28:35 +0000 2018,0.0,0.78,0.22,60,@BBC
60,0.0,Mon Apr 09 16:34:07 +0000 2018,0.0,1.0,0.0,61,@BBC
61,-0.318,Mon Apr 09 07:27:04 +0000 2018,0.103,0.897,0.0,62,@BBC
62,0.572,Sat Apr 07 18:00:22 +0000 2018,0.0,0.748,0.252,63,@BBC
63,0.0,Fri Apr 06 17:32:05 +0000 2018,0.0,1.0,0.0,64,@BBC
64,0.0,Fri Apr 06 08:00:17 +0000 2018,0.0,1.0,0.0,65,@BBC
65,0.324,Thu Apr 05 08:57:48 +0000 2018,0.0,0.9,0.1,66,@BBC
66,-0.542,Wed Apr 04 09:11:29 +0000 2018,0.209,0.791,0.0,67,@BBC
67,0.586,Tue Apr 03 12:01:00 +0000 2018,0.0,0.769,0.231,68,@BBC
68,0.0,Mon Apr 02 10:02:06 +0000 2018,0.0,1.0,0.0,69,@BBC
69,0.0,Sun Apr 01 12:00:24 +0000 2018,0.0,1.0,0.0,70,@BBC
70,0.527,Sat Mar 31 13:01:05 +0000 2018,0.176,0.546,0.277,71,@BBC
71,0.0,Fri Mar 30 15:10:56 +0000 2018,0.0,1.0,0.0,72,@BBC
72,0.0,Thu Mar 29 15:31:22 +0000 2018,0.0,1.0,0.0,73,@BBC
73,0.0,Wed Mar 28 11:49:07 +0000 2018,0.0,1.0,0.0,74,@BBC
74,-0.306,Tue Mar 27 15:36:22 +0000 2018,0.134,0.866,0.0,75,@BBC
75,-0.382,Mon Mar 26 15:45:04 +0000 2018,0.155,0.754,0.091,76,@BBC
76,0.0,Sun Mar 25 12:03:02 +0000 2018,0.0,1.0,0.0,77,@BBC
77,0.187,Sat Mar 24 12:33:04 +0000 2018,0.0,0.902,0.098,78,@BBC
78,0.494,Fri Mar 23 13:03:02 +0000 2018,0.0,0.741,0.259,79,@BBC
79,0.418,Thu Mar 22 15:00:43 +0000 2018,0.0,0.859,0.141,80,@BBC
80,0.494,Wed Mar 21 16:30:07 +0000 2018,0.0,0.873,0.127,81,@BBC
81,-0.386,Tue Mar 20 18:33:01 +0000 2018,0.16,0.768,0.071,82,@BBC
82,0.0,Tue Mar 20 08:03:03 +0000 2018,0.0,1.0,0.0,83,@BBC
83,0.128,Mon Mar 19 09:57:58 +0000 2018,0.079,0.789,0.133,84,@BBC
84,0.0,Sun Mar 18 12:29:50 +0000 2018,0.0,1.0,0.0,85,@BBC
85,0.511,Sat Mar 17 12:00:09 +0000 2018,0.112,0.643,0.245,86,@BBC
86,0.649,Fri Mar 16 09:35:50 +0000 2018,0.0,0.813,0.187,87,@BBC
87,0.0,Thu Mar 15 08:30:08 +0000 2018,0.0,1.0,0.0,88,@BBC
88,-0.226,Wed Mar 14 11:30:12 +0000 2018,0.119,0.881,0.0,89,@BBC
89,0.25,Tue Mar 13 12:00:09 +0000 2018,0.0,0.9,0.1,90,@BBC
90,0.0,Mon Mar 12 12:46:06 +0000 2018,0.0,1.0,0.0,91,@BBC
91,0.0,Sun Mar 11 19:50:11 +0000 2018,0.0,1.0,0.0,92,@BBC
92,0.715,Sun Mar 11 09:33:16 +0000 2018,0.0,0.834,0.166,93,@BBC
93,0.88,Sat Mar 10 15:59:11 +0000 2018,0.0,0.596,0.404,94,@BBC
94,0.417,Sat Mar 10 09:00:06 +0000 2018,0.0,0.888,0.112,95,@BBC
95,0.439,Fri Mar 09 09:00:04 +0000 2018,0.0,0.818,0.182,96,@BBC
96,0.0,Thu Mar 08 12:30:04 +0000 2018,0.0,1.0,0.0,97,@BBC
97,0.0,Wed Mar 07 17:13:49 +0000 2018,0.0,1.0,0.0,98,@BBC
98,-0.103,Tue Mar 06 17:30:07 +0000 2018,0.185,0.65,0.165,99,@BBC
99,0.0,Mon Mar 05 14:48:43 +0000 2018,0.0,1.0,0.0,100,@BBC
100,-0.318,Fri Jun 08 16:35:19 +0000 2018,0.141,0.859,0.0,1,@CBSNews
101,-0.142,Fri Jun 08 12:43:25 +0000 2018,0.066,0.934,0.0,2,@CBSNews
102,-0.052,Fri Jun 08 11:06:45 +0000 2018,0.059,0.941,0.0,3,@CBSNews
103,0.0,Fri Jun 08 06:48:04 +0000 2018,0.0,1.0,0.0,4,@CBSNews
104,-0.557,Fri Jun 08 01:59:43 +0000 2018,0.167,0.833,0.0,5,@CBSNews
105,0.128,Thu Jun 07 21:04:35 +0000 2018,0.06,0.854,0.085,6,@CBSNews
106,0.0,Thu Jun 07 18:24:29 +0000 2018,0.0,1.0,0.0,7,@CBSNews
107,0.0,Thu Jun 07 14:02:43 +0000 2018,0.0,1.0,0.0,8,@CBSNews
108,-0.66,Thu Jun 07 11:36:05 +0000 2018,0.219,0.731,0.05,9,@CBSNews
109,0.0,Thu Jun 07 10:03:05 +0000 2018,0.0,1.0,0.0,10,@CBSNews
110,-0.382,Thu Jun 07 05:03:03 +0000 2018,0.178,0.822,0.0,11,@CBSNews
111,0.318,Wed Jun 06 23:15:01 +0000 2018,0.0,0.845,0.155,12,@CBSNews
112,0.038,Wed Jun 06 18:55:40 +0000 2018,0.095,0.801,0.104,13,@CBSNews
113,0.0,Wed Jun 06 15:09:40 +0000 2018,0.0,1.0,0.0,14,@CBSNews
114,0.0,Wed Jun 06 11:54:17 +0000 2018,0.0,1.0,0.0,15,@CBSNews
115,0.318,Wed Jun 06 10:19:56 +0000 2018,0.0,0.859,0.141,16,@CBSNews
116,0.0,Wed Jun 06 04:28:52 +0000 2018,0.0,1.0,0.0,17,@CBSNews
117,0.226,Tue Jun 05 23:54:30 +0000 2018,0.134,0.693,0.173,18,@CBSNews
118,0.0,Tue Jun 05 20:14:34 +0000 2018,0.0,1.0,0.0,19,@CBSNews
119,-0.9,Tue Jun 05 17:14:40 +0000 2018,0.5,0.5,0.0,20,@CBSNews
120,0.402,Tue Jun 05 13:33:14 +0000 2018,0.065,0.791,0.144,21,@CBSNews
121,0.625,Tue Jun 05 12:13:42 +0000 2018,0.0,0.769,0.231,22,@CBSNews
122,0.402,Tue Jun 05 11:10:47 +0000 2018,0.0,0.863,0.137,23,@CBSNews
123,0.0,Tue Jun 05 07:03:04 +0000 2018,0.0,1.0,0.0,24,@CBSNews
124,-0.077,Tue Jun 05 01:49:47 +0000 2018,0.142,0.729,0.13,25,@CBSNews
125,0.632,Mon Jun 04 19:30:09 +0000 2018,0.0,0.828,0.172,26,@CBSNews
126,0.557,Mon Jun 04 15:29:31 +0000 2018,0.0,0.769,0.231,27,@CBSNews
127,0.0,Mon Jun 04 12:40:38 +0000 2018,0.0,1.0,0.0,28,@CBSNews
128,-0.494,Mon Jun 04 11:05:54 +0000 2018,0.167,0.833,0.0,29,@CBSNews
129,-0.67,Mon Jun 04 06:18:04 +0000 2018,0.257,0.743,0.0,30,@CBSNews
130,-0.361,Mon Jun 04 00:40:35 +0000 2018,0.143,0.857,0.0,31,@CBSNews
